GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Acme Hacker Rank,security,LoginController,29,3,0,0,8,2,2,1,2,1
Acme Hacker Rank,security,Credentials,17,0,0,0,8,0,5,0,5,0
Acme Hacker Rank,security,Authority,62,22,5,1,17,9,5,5,2,5
Acme Hacker Rank,security,LoginService,1,49,1,1,0,17,1,3,0,3
Acme Hacker Rank,security,UserAccount,38,29,2,0,12,12,7,7,6,7
Acme Hacker Rank,domain,Curricula,0,52,0,0,0,22,0,15,0,15
Acme Hacker Rank,domain,Finder,0,45,0,0,0,19,0,13,0,13
Acme Hacker Rank,domain,Message,37,66,0,0,1,28,1,19,1,19
Acme Hacker Rank,domain,Answer,0,17,0,0,0,7,0,5,0,5
Acme Hacker Rank,domain,EducationData,0,45,0,0,0,19,0,13,0,13
Acme Hacker Rank,domain,Url,12,17,0,0,1,7,1,5,1,5
Acme Hacker Rank,domain,Problem,0,52,0,0,0,22,0,15,0,15
Acme Hacker Rank,domain,Position,52,94,0,0,1,40,1,27,1,27
Acme Hacker Rank,domain,Company,0,24,0,0,0,10,0,7,0,7
Acme Hacker Rank,domain,PositionData,0,38,0,0,0,16,0,11,0,11
Acme Hacker Rank,domain,SocialProfile,22,31,0,0,1,13,1,9,1,9
Acme Hacker Rank,domain,Administrator,0,3,0,0,0,1,0,1,0,1
Acme Hacker Rank,domain,PersonalData,0,45,0,0,0,19,0,13,0,13
Acme Hacker Rank,domain,CreditCard,68,0,0,0,17,0,12,0,12,0
Acme Hacker Rank,domain,Application,27,59,0,0,1,25,1,17,1,17
Acme Hacker Rank,domain,Hacker,0,24,0,0,0,10,0,7,0,7
Acme Hacker Rank,domain,MiscellaneousData,0,24,0,0,0,10,0,7,0,7
Acme Hacker Rank,domain,Actor,17,101,0,0,1,43,1,29,1,29
Acme Hacker Rank,domain,DomainEntity,55,49,5,7,11,17,5,9,1,7
Acme Hacker Rank,domain,Configurations,0,59,0,0,0,25,0,17,0,17
Acme Hacker Rank,utilities.internal,DatabaseUtil,462,0,30,0,97,0,34,0,19,0
Acme Hacker Rank,utilities.internal,DatabaseUtil.new Work() {...},31,0,2,0,6,0,3,0,2,0
Acme Hacker Rank,utilities.internal,ConsoleReader,92,0,12,0,22,0,9,0,3,0
Acme Hacker Rank,utilities.internal,DatabaseEnquirer,278,0,54,0,49,0,38,0,3,0
Acme Hacker Rank,utilities.internal,DatabasePopulator,427,0,26,0,89,0,19,0,6,0
Acme Hacker Rank,utilities.internal,ThrowablePrinter,68,0,12,0,13,0,9,0,3,0
Acme Hacker Rank,utilities.internal,EclipseConsole,9,33,0,2,3,9,1,3,1,2
Acme Hacker Rank,utilities.internal,EclipseStream,50,59,15,13,13,16,16,6,3,5
Acme Hacker Rank,utilities.internal,SchemaPrinter,438,0,72,0,101,0,53,0,17,0
Acme Hacker Rank,controllers,CompanyController,537,3,12,0,140,1,20,1,14,1
Acme Hacker Rank,controllers,CurriculaController,1487,3,68,0,361,1,59,1,25,1
Acme Hacker Rank,controllers,SocialProfileController,154,3,2,0,42,1,10,1,9,1
Acme Hacker Rank,controllers,MessageController,334,3,8,0,92,1,16,1,12,1
Acme Hacker Rank,controllers,PositionController,517,3,22,0,134,1,24,1,13,1
Acme Hacker Rank,controllers,ProblemController,492,3,24,0,128,1,25,1,13,1
Acme Hacker Rank,controllers,AbstractController,122,3,10,0,27,1,8,1,3,1
Acme Hacker Rank,controllers,AdministratorController,611,3,14,0,159,1,28,1,21,1
Acme Hacker Rank,controllers,ApplicationController,469,3,16,0,125,1,23,1,15,1
Acme Hacker Rank,controllers,MessageController.new CustomCollectionEditor() {...},55,0,8,0,11,0,6,0,2,0
Acme Hacker Rank,controllers,FinderController,227,3,10,0,58,1,12,1,7,1
Acme Hacker Rank,controllers,HackerController,367,3,8,0,95,1,16,1,12,1
Acme Hacker Rank,controllers,WelcomeController,105,3,0,0,22,2,2,1,2,1
Acme Hacker Rank,converters,StringToEducationDataConverter,26,3,2,0,8,1,2,1,1,1
Acme Hacker Rank,converters,StringToMiscellaneousDataConverter,26,3,2,0,8,1,2,1,1,1
Acme Hacker Rank,converters,StringToUrlConverter,23,3,2,0,8,1,2,1,1,1
Acme Hacker Rank,converters,StringToHackerConverter,26,3,2,0,8,1,2,1,1,1
Acme Hacker Rank,converters,ConfigurationsToStringConverter,11,3,2,0,4,1,2,1,1,1
Acme Hacker Rank,converters,StringToPositionConverter,26,3,2,0,8,1,2,1,1,1
Acme Hacker Rank,converters,StringToPersonalDataConverter,26,3,2,0,8,1,2,1,1,1
Acme Hacker Rank,converters,ActorToStringConverter,11,3,2,0,4,1,2,1,1,1
Acme Hacker Rank,converters,MessageToStringConverter,11,3,2,0,4,1,2,1,1,1
Acme Hacker Rank,converters,StringToAdministratorConverter,26,3,2,0,8,1,2,1,1,1
Acme Hacker Rank,converters,EducationDataToStringConverter,11,3,2,0,4,1,2,1,1,1
Acme Hacker Rank,converters,StringToProblemConverter,26,3,2,0,8,1,2,1,1,1
Acme Hacker Rank,converters,StringToAuthorityConverter,22,3,2,0,8,1,2,1,1,1
Acme Hacker Rank,converters,StringToCompanyConverter,26,3,2,0,8,1,2,1,1,1
Acme Hacker Rank,converters,SocialProfileToStringConverter,11,3,2,0,4,1,2,1,1,1
Acme Hacker Rank,converters,StringToActorConverter,26,3,2,0,8,1,2,1,1,1
Acme Hacker Rank,converters,PersonalDataToStringConverter,11,3,2,0,4,1,2,1,1,1
Acme Hacker Rank,converters,CurriculaToStringConverter,11,3,2,0,4,1,2,1,1,1
Acme Hacker Rank,converters,MiscellaneousDataToStringConverter,11,3,2,0,4,1,2,1,1,1
Acme Hacker Rank,converters,StringToCurriculaConverter,26,3,2,0,8,1,2,1,1,1
Acme Hacker Rank,converters,CompanyToStringConverter,11,3,2,0,4,1,2,1,1,1
Acme Hacker Rank,converters,FinderToStringConverter,11,3,2,0,4,1,2,1,1,1
